objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
42774,92,Типовой,Другое,1,Нет,0,A
42773,260,Типовой,Другое,1,Нет,0,A
42727,604,Комфорт,Другое,0,Нет,0,C
42726,48,Типовой,Другое,0,Нет,0,C
42725,571,Комфорт,Другое,0,Нет,0,C
42724,48,Комфорт,Другое,0,Нет,0,C
42723,571,Комфорт,Другое,0,Нет,0,C
42722,144,Комфорт,Другое,0,Нет,0,C
42721,604,Комфорт,Другое,0,Нет,0,C
42672,380,Комфорт,Панель,0,Нет,0,B
42647,267,Типовой,Панель,1,Нет,0,A
42646,63,Типовой,Панель,1,Нет,0,B
42645,150,Типовой,Панель,1,Нет,0,B
42454,176,Типовой,Панель,1,Нет,185,D
42384,860,Типовой,Другое,1,Нет,0,A+
42315,622,Комфорт,Монолит-кирпич,1,Нет,0,B
42301,568,Комфорт,Монолит-кирпич,1,Нет,0,B
42251,437,Комфорт,Монолит-кирпич,1,Нет,89,B
42203,70,Типовой,Монолит-кирпич,1,Нет,0,A
42135,440,Комфорт,Монолит-кирпич,1,Нет,72,C
42077,258,Комфорт,Монолит-кирпич,1,Нет,0,B
42076,288,Комфорт,Монолит-кирпич,1,Нет,0,B
41860,163,Типовой,Другое,1,Нет,0,A+
41859,136,Типовой,Другое,1,Нет,0,A+
41858,439,Типовой,Другое,1,Нет,0,A+
41857,207,Типовой,Другое,1,Нет,0,A+
41610,172,Типовой,Панель,1,Нет,0,B
41490,24,Типовой,Панель,1,Нет,0,B
41386,176,Комфорт,Монолит-кирпич,1,Нет,0,B
41385,451,Комфорт,Монолит-кирпич,1,Нет,0,B
41313,316,Комфорт,Другое,0,Нет,0,D
41281,540,Комфорт,Другое,0,Нет,0,D
41271,55,Комфорт,Другое,1,Есть,7,C
41270,63,Комфорт,Другое,1,Есть,61,B
41269,62,Комфорт,Другое,1,Есть,77,C
41248,874,Комфорт,Монолит-кирпич,1,Нет,0,B
41245,71,Комфорт,Монолит-кирпич,0,Нет,0,B
41244,71,Комфорт,Монолит-кирпич,0,Нет,0,B
41243,71,Комфорт,Монолит-кирпич,0,Нет,0,B
41242,71,Комфорт,Монолит-кирпич,0,Нет,0,B
41181,114,Типовой,Панель,1,Нет,0,B
41179,55,Комфорт,Монолит-кирпич,0,Нет,0,C
41163,512,Комфорт,Другое,1,Нет,0,D
41162,1119,Комфорт,Другое,1,Нет,0,D
41161,146,Комфорт,Другое,1,Нет,0,D
41160,1119,Комфорт,Другое,1,Нет,0,D
41158,330,Комфорт,Другое,1,Нет,0,D
41157,512,Комфорт,Другое,1,Нет,0,D
40956,171,Типовой,Панель,1,Нет,0,B
